iter	Passed	Remaining
171	967	4655
172	971	4645
173	975	4631
174	979	4616
175	984	4607
176	988	4595
177	992	4582
178	996	4568
179	1000	4556
180	1004	4543
181	1008	4530
182	1011	4517
183	1016	4507
184	1020	4496
185	1024	4483
186	1028	4473
187	1034	4467
188	1039	4458
189	1042	4445
190	1047	4434
191	1051	4424
192	1056	4417
193	1060	4405
194	1064	4396
195	1068	4384
196	1072	4372
197	1076	4360
198	1081	4352
199	1085	4341
200	1089	4329
201	1093	4318
202	1097	4306
203	1100	4295
204	1104	4284
205	1108	4273
206	1113	4265
207	1117	4255
208	1121	4244
209	1125	4234
210	1130	4226
211	1134	4215
212	1137	4204
213	1141	4194
214	1145	4183
215	1150	4177
216	1154	4167
217	1158	4157
218	1163	4150
219	1167	4139
220	1171	4129
221	1175	4120
222	1180	4112
223	1184	4102
224	1188	4092
225	1192	4083
226	1196	4073
227	1200	4065
228	1204	4056
229	1209	4048
230	1213	4040
231	1217	4030
232	1221	4020
233	1225	4012
234	1230	4004
235	1233	3994
236	1237	3984
237	1242	3977
238	1246	3968
239	1250	3959
240	1254	3949
241	1258	3941
242	1262	3934
243	1267	3925
244	1270	3916
245	1275	3909
246	1280	3902
247	1284	3893
248	1288	3887
249	1292	3878
250	1296	3869
251	1300	3860
252	1305	3855
253	1310	3848
254	1314	3840
255	1318	3831
256	1322	3824
257	1327	3818
258	1332	3811
259	1336	3802
260	1341	3797
261	1344	3788
262	1348	3779
263	1352	3771
264	1357	3764
265	1362	3758
266	1365	3749
267	1370	3743
268	1374	3735
269	1379	3728
270	1383	3720
271	1387	3713
272	1391	3705
273	1395	3696
274	1399	3688
275	1403	3681
276	1407	3674
277	1411	3665
278	1415	3657
279	1419	3650
280	1423	3643
281	1427	3634
282	1431	3627
283	1436	3622
284	1440	3614
285	1444	3606
286	1448	3597
287	1452	3591
288	1457	3585
289	1461	3577
290	1465	3569
291	1469	3564
292	1473	3555
293	1477	3547
294	1481	3539
295	1485	3531
296	1488	3524
297	1492	3516
298	1497	3510
299	1502	3504
300	1513	3514
301	1518	3508
302	1522	3501
303	1526	3493
304	1530	3486
305	1534	3480
306	1538	3472
307	1542	3465
308	1546	3458
309	1551	3452
310	1554	3444
311	1559	3437
312	1563	3430
313	1567	3424
314	1572	3418
315	1575	3411
316	1580	3404
317	1583	3397
318	1587	3389
319	1591	3382
320	1596	3375
321	1600	3370
322	1604	3363
323	1608	3356
324	1613	3350
325	1617	3343
326	1621	3336
327	1624	3329
328	1629	3322
329	1633	3316
330	1637	3309
331	1641	3302
332	1646	3298
333	1650	3291
334	1654	3284
335	1659	3278
336	1663	3273
337	1668	3268
338	1672	3261
339	1676	3254
340	1680	3247
341	1683	3239
342	1687	3232
343	1691	3226
344	1696	3220
345	1700	3213
346	1703	3206
347	1708	3200
348	1712	3194
349	1716	3188
350	1721	3182
351	1726	3177
352	1730	3171
353	1734	3164
354	1739	3159
355	1743	3154
356	1748	3149
357	1752	3142
358	1756	3136
359	1761	3130
360	1766	3126
361	1770	3119
362	1775	3115
363	1778	3108
364	1782	3101
365	1786	3095
366	1791	3089
367	1795	3083
368	1799	3076
369	1803	3070
370	1808	3065
371	1812	3059
372	1815	3052
373	1819	3046
374	1824	3040
375	1828	3033
376	1832	3027
377	1836	3021
378	1841	3016
379	1845	3010
380	1849	3004
381	1853	2999
382	1858	2993
383	1862	2987
384	1866	2980
385	1870	2975
386	1874	2969
387	1879	2964
388	1883	2957
389	1887	2952
390	1891	2946
391	1895	2940
392	1899	2933
393	1904	2928
394	1908	2922
395	1912	2916
396	1916	2910
397	1921	2905
398	1925	2899
399	1929	2893
400	1933	2887
401	1937	2882
402	1941	2876
403	1945	2870
404	1949	2864
405	1954	2859
406	1958	2852
407	1962	2847
408	1966	2841
409	1970	2835
410	1975	2831
411	1979	2825
412	1984	2820
413	1988	2815
414	1992	2809
415	1997	2803
416	2003	2801
417	2010	2799
418	2017	2797
419	2024	2796
420	2032	2795
421	2039	2793
422	2045	2790
423	2052	2788
424	2058	2785
425	2066	2785
426	2075	2785
427	2082	2782
428	2089	2781
429	2096	2779
430	2103	2776
431	2111	2775
432	2117	2773
433	2125	2771
434	2130	2767
435	2135	2762
436	2139	2756
437	2144	2751
438	2148	2746
439	2152	2739
440	2157	2734
441	2163	2730
442	2167	2725
443	2171	2719
444	2176	2714
445	2180	2708
446	2184	2702
447	2189	2697
448	2193	2691
449	2197	2685
450	2200	2679
451	2205	2674
452	2209	2668
453	2213	2662
454	2217	2656
455	2222	2650
456	2226	2645
457	2230	2639
458	2233	2632
459	2237	2626
460	2241	2621
461	2245	2615
462	2249	2609
463	2254	2603
464	2258	2598
465	2263	2593
466	2266	2587
467	2271	2582
468	2275	2576
469	2279	2570
470	2283	2564
471	2287	2559
472	2291	2553
473	2295	2547
474	2299	2541
475	2304	2537
476	2308	2531
477	2312	2525
478	2317	2520
479	2321	2515
480	2325	2509
481	2329	2503
482	2332	2497
483	2336	2491
484	2341	2485
485	2345	2480
486	2349	2474
487	2354	2469
488	2357	2463
489	2361	2458
490	2365	2452
491	2369	2447
492	2374	2441
493	2378	2436
494	2382	2431
495	2387	2425
496	2391	2420
497	2395	2414
498	2400	2409
499	2404	2404
500	2408	2398
501	2412	2393
502	2416	2388
503	2420	2382
504	2424	2376
505	2428	2371
506	2433	2365
507	2437	2360
508	2441	2355
509	2445	2349
510	2450	2345
511	2454	2339
512	2458	2333
513	2462	2328
514	2466	2323
515	2471	2318
516	2475	2312
517	2479	2307
518	2483	2302
519	2487	2296
520	2491	2290
521	2495	2285
522	2500	2280
523	2503	2274
524	2507	2268
525	2512	2263
526	2516	2258
527	2520	2252
528	2524	2247
529	2528	2242
530	2532	2236
531	2536	2231
532	2539	2225
533	2544	2220
534	2548	2215
535	2552	2209
536	2556	2203
537	2560	2198
538	2564	2193
539	2568	2188
540	2572	2182
541	2577	2177
542	2582	2173
543	2586	2167
544	2589	2162
545	2594	2157
546	2598	2152
547	2602	2146
548	2606	2141
549	2611	2136
550	2615	2131
551	2619	2126
552	2624	2121
553	2628	2116
554	2633	2111
555	2637	2106
556	2642	2101
557	2647	2096
558	2651	2091
559	2655	2086
560	2660	2081
561	2664	2076
562	2668	2071
563	2672	2066
564	2677	2061
565	2681	2056
566	2685	2050
567	2690	2046
568	2694	2041
569	2698	2035
570	2702	2030
571	2706	2025
572	2710	2020
573	2714	2014
574	2718	2009
575	2722	2004
576	2726	1998
577	2730	1993
578	2735	1988
579	2739	1983
580	2743	1978
581	2747	1973
582	2751	1967
583	2755	1963
584	2759	1957
585	2763	1952
586	2767	1947
587	2771	1942
588	2775	1937
589	2779	1931
590	2783	1926
591	2788	1921
592	2792	1916
593	2797	1911
594	2801	1906
595	2805	1902
596	2809	1896
597	2813	1891
598	2818	1886
599	2822	1881
600	2826	1876
601	2830	1871
602	2834	1866
603	2842	1863
604	2846	1858
605	2851	1853
606	2855	1848
607	2859	1843
608	2863	1838
609	2869	1834
610	2872	1829
611	2876	1823
612	2881	1819
613	2885	1813
614	2890	1809
615	2894	1804
616	2898	1799
617	2902	1794
618	2906	1789
619	2910	1783
620	2914	1778
621	2918	1773
622	2922	1768
623	2926	1763
624	2930	1758
625	2935	1753
626	2939	1748
627	2943	1743
628	2948	1738
629	2952	1733
630	2956	1728
631	2960	1723
632	2964	1719
633	2968	1713
634	2972	1708
635	2976	1703
636	2981	1698
637	2985	1693
638	2988	1688
639	2992	1683
640	2997	1678
641	3001	1673
642	3005	1668
643	3009	1663
644	3013	1658
645	3017	1653
646	3020	1648
647	3024	1643
648	3030	1638
649	3034	1633
650	3038	1628
651	3042	1624
652	3047	1619
653	3052	1614
654	3056	1609
655	3060	1604
656	3065	1600
657	3069	1595
658	3073	1590
659	3078	1585
660	3082	1580
661	3085	1575
662	3090	1570
663	3094	1565
664	3099	1561
665	3103	1556
666	3107	1551
667	3111	1546
668	3114	1541
669	3118	1536
670	3122	1530
671	3127	1526
672	3131	1521
673	3135	1516
674	3139	1511
675	3143	1506
676	3147	1501
677	3151	1496
678	3155	1491
679	3159	1486
680	3164	1482
681	3168	1477
682	3172	1472
683	3177	1467
684	3181	1462
685	3184	1457
686	3189	1453
687	3193	1448
688	3197	1443
689	3201	1438
690	3206	1433
691	3210	1428
692	3214	1424
693	3219	1419
694	3224	1414
695	3227	1409
696	3231	1404
697	3235	1399
698	3240	1395
699	3244	1390
700	3248	1385
701	3252	1380
702	3256	1375
703	3260	1370
704	3264	1365
705	3268	1361
706	3272	1356
707	3276	1351
708	3280	1346
709	3284	1341
710	3289	1336
711	3292	1331
712	3296	1327
713	3304	1323
714	3310	1319
715	3316	1315
716	3323	1311
717	3328	1307
718	3334	1303
719	3340	1299
720	3346	1294
721	3352	1290
722	3357	1286
723	3363	1282
724	3369	1277
725	3374	1273
726	3379	1269
727	3385	1264
728	3391	1260
729	3397	1256
730	3402	1252
731	3408	1247
732	3414	1243
733	3420	1239
734	3426	1235
735	3432	1231
736	3437	1226
737	3442	1222
738	3447	1217
739	3453	1213
740	3457	1208
741	3462	1203
742	3467	1199
743	3471	1194
744	3476	1189
745	3480	1185
746	3485	1180
747	3489	1175
748	3493	1170
749	3498	1166
750	3501	1161
751	3505	1156
752	3510	1151
753	3514	1146
754	3518	1141
755	3523	1137
756	3528	1132
757	3531	1127
758	3535	1122
759	3539	1117
760	3544	1113
761	3548	1108
762	3552	1103
763	3556	1098
764	3561	1093
765	3565	1089
766	3568	1084
767	3573	1079
768	3577	1074
769	3581	1069
770	3585	1064
771	3588	1059
772	3593	1055
773	3597	1050
774	3601	1045
775	3606	1040
776	3610	1036
777	3614	1031
778	3618	1026
779	3622	1021
780	3627	1017
781	3630	1012
782	3634	1007
783	3639	1002
784	3643	997
785	3647	993
786	3651	988
787	3655	983
788	3659	978
789	3663	973
790	3667	969
791	3671	964
792	3675	959
793	3679	954
794	3683	949
795	3687	945
796	3691	940
797	3696	935
798	3700	930
799	3705	926
800	3708	921
801	3712	916
802	3716	911
803	3721	907
804	3725	902
805	3728	897
806	3733	892
807	3737	888
808	3741	883
809	3745	878
810	3749	873
811	3753	869
812	3757	864
813	3761	859
814	3765	854
815	3769	850
816	3773	845
817	3777	840
818	3782	835
819	3787	831
820	3791	826
821	3795	821
822	3800	817
823	3804	812
824	3809	807
825	3812	803
826	3817	798
827	3821	793
828	3825	789
829	3829	784
830	3833	779
831	3837	774
832	3841	770
833	3845	765
834	3850	760
835	3854	756
836	3857	751
837	3861	746
838	3865	741
839	3869	737
840	3873	732
841	3877	727
842	3881	722
843	3886	718
844	3889	713
845	3894	708
846	3898	704
847	3904	699
848	3908	695
849	3912	690
850	3917	685
851	3920	681
852	3924	676
853	3929	671
854	3934	667
855	3938	662
856	3942	657
857	3947	653
858	3952	648
859	3956	644
860	3961	639
861	3965	634
862	3969	630
863	3973	625
864	3977	620
865	3981	616
866	3985	611
867	3989	606
868	3994	602
869	3998	597
870	4003	592
871	4007	588
872	4011	583
873	4015	578
874	4019	574
875	4023	569
876	4028	565
877	4032	560
878	4036	555
879	4040	551
880	4044	546
881	4048	541
882	4052	536
883	4056	532
884	4061	527
885	4065	523
886	4070	518
887	4074	513
888	4079	509
889	4083	504
890	4088	500
891	4093	495
892	4097	490
893	4101	486
894	4106	481
895	4111	477
896	4116	472
897	4120	467
898	4125	463
899	4129	458
900	4133	454
901	4137	449
902	4142	445
903	4147	440
904	4151	435
905	4155	431
906	4160	426
907	4164	421
908	4168	417
909	4173	412
910	4177	408
911	4180	403
912	4184	398
913	4189	394
914	4193	389
915	4197	384
916	4201	380
917	4205	375
918	4210	371
919	4214	366
920	4219	361
921	4223	357
922	4227	352
923	4232	348
924	4236	343
925	4240	338
926	4244	334
927	4248	329
928	4253	325
929	4257	320
930	4260	315
931	4264	311
932	4269	306
933	4273	301
934	4276	297
935	4280	292
936	4285	288
937	4289	283
938	4293	278
939	4297	274
940	4302	269
941	4306	265
942	4310	260
943	4313	255
944	4318	251
945	4323	246
946	4328	242
947	4332	237
948	4336	233
949	4340	228
950	4344	223
951	4349	219
952	4354	214
953	4358	210
954	4362	205
955	4366	200
956	4371	196
957	4375	191
958	4380	187
959	4385	182
960	4389	178
961	4393	173
962	4398	169
963	4403	164
964	4407	159
965	4411	155
966	4415	150
967	4420	146
968	4424	141
969	4428	136
970	4433	132
971	4436	127
972	4440	123
973	4445	118
974	4449	114
975	4453	109
976	4458	104
977	4462	100
978	4466	95
979	4470	91
980	4473	86
981	4478	82
982	4482	77
983	4486	72
984	4490	68
985	4495	63
986	4498	59
987	4502	54
988	4506	50
989	4511	45
990	4515	41
991	4519	36
992	4523	31
993	4528	27
994	4533	22
995	4536	18
996	4541	13
997	4545	9
998	4549	4
999	4553	0
