iter	RMSE
0	0.3781533788
1	0.3659607275
2	0.3547222389
3	0.3441240934
4	0.334728579
5	0.3247644551
6	0.3145779559
7	0.3052454088
8	0.2959504933
9	0.2882240635
10	0.2805860868
11	0.2732890319
12	0.2658151778
13	0.2591718099
14	0.2524128123
15	0.2461173195
16	0.2400154002
17	0.2340410488
18	0.2285947825
19	0.2237052436
20	0.2187283018
21	0.2139752683
22	0.2092868995
23	0.2047513
24	0.2007540874
25	0.196904246
26	0.1932703265
27	0.1895401839
28	0.185805789
29	0.1827794063
30	0.1798166605
31	0.1774435337
32	0.1750727114
33	0.1724713399
34	0.1698889009
35	0.1673646849
36	0.1649998877
37	0.1627060914
38	0.1602765456
39	0.1582575522
40	0.1562136957
41	0.1543734759
42	0.1524258322
43	0.1505403513
44	0.1489124067
45	0.1473845885
46	0.1458614839
47	0.1443814465
48	0.1429569651
49	0.1415280495
50	0.1401912703
51	0.1387206374
52	0.1376236471
53	0.1363459557
54	0.1350876035
55	0.1341316733
56	0.1330475836
57	0.1320348955
58	0.1311757501
59	0.1301984416
60	0.1293665689
61	0.1283439418
62	0.1275962639
63	0.1267305288
64	0.1259758201
65	0.1251802094
66	0.1244190367
67	0.123497347
68	0.1228031
69	0.1219380483
70	0.1211589958
71	0.1204853879
72	0.1197720843
73	0.1191603123
74	0.1185730725
75	0.1180193959
76	0.1174272422
77	0.1169211967
78	0.1163432923
79	0.1155937344
80	0.1151235209
81	0.1145460814
82	0.1139393617
83	0.1133952223
84	0.1128543737
85	0.1123189814
86	0.1118352972
87	0.1115617389
88	0.1110393237
89	0.110540702
90	0.1102338363
91	0.109786904
92	0.1093019775
93	0.1088712248
94	0.1084049268
95	0.108145829
96	0.1077009085
97	0.1073899634
98	0.1069983523
99	0.1066193131
100	0.1062182058
101	0.1057763652
102	0.1054348934
103	0.1049851432
104	0.1046361097
105	0.1043709535
106	0.1041580292
107	0.1037374426
108	0.1034111671
109	0.1031328056
110	0.1028278343
111	0.1025202917
112	0.1022001965
113	0.1019082516
114	0.1017057268
115	0.1014467163
116	0.1011389089
117	0.1008103633
118	0.1004942807
119	0.1002074536
120	0.09994013493
121	0.09973374984
122	0.09941071438
123	0.09918440247
124	0.0989211259
125	0.09858145127
126	0.09843839471
127	0.09834475973
128	0.09816712599
129	0.09793041253
130	0.09768498916
131	0.09748817891
132	0.09722659467
133	0.09698476444
134	0.09670945382
135	0.09647782444
136	0.09625394569
137	0.09591332589
138	0.09570207787
139	0.09542014494
140	0.09517581883
141	0.09490324173
142	0.09477854561
143	0.09454934172
144	0.0942993865
145	0.0941524519
146	0.09387894256
147	0.09367642897
148	0.0935214572
149	0.09340108033
150	0.09316201468
151	0.0929977597
152	0.09276844308
153	0.09250802659
154	0.09238270461
155	0.09224137147
156	0.09190849937
157	0.09164757924
158	0.09137959279
159	0.09113661419
160	0.09085055996
161	0.09066748842
162	0.09044169853
163	0.09034025909
164	0.0900640275
165	0.08984936202
166	0.08976058378
167	0.08958119609
168	0.08931775919
169	0.08910259956
170	0.08890802891
171	0.08879187652
172	0.0887035705
173	0.08838953882
174	0.08831317488
175	0.08810650495
176	0.08802787796
177	0.08782101678
178	0.08761682345
179	0.08737602494
180	0.08713213738
181	0.08688463016
182	0.08663707234
183	0.08635224705
184	0.08627177891
185	0.08604213647
186	0.08584753424
187	0.08566560288
188	0.0854403864
189	0.08537773038
190	0.08523543477
191	0.08505986965
192	0.08482520794
193	0.08459348842
194	0.08433041709
195	0.08413172839
196	0.0839707
197	0.08391926596
198	0.08379784627
199	0.08374880785
200	0.08370064842
201	0.08351330271
202	0.08341380664
203	0.08324111113
204	0.08298798962
205	0.08285408807
206	0.08269487995
207	0.08256772777
208	0.08237866036
209	0.08219095673
210	0.08215527974
211	0.08191477296
212	0.08187310523
213	0.08177977545
214	0.08173439288
215	0.08161644986
216	0.08149188632
217	0.08133632939
218	0.08120839722
219	0.08108639452
220	0.08101330677
221	0.08081035121
222	0.08062861179
223	0.08044339285
224	0.08025311785
225	0.08020118397
226	0.08006130588
227	0.07982715468
228	0.07977312641
229	0.0796095888
230	0.07940602905
231	0.07922574144
232	0.07918849183
233	0.07903056098
234	0.07892271262
235	0.07882612583
236	0.07874594674
237	0.07859837288
238	0.0784979523
239	0.07828451544
240	0.07820929229
241	0.07801553379
242	0.07796605494
